Date,Close,High,Low,Open,Volume
2011-06-02,5550.350098,5568.200195,5521.950195,5529.899902,98629277
2011-06-03,5516.75,5604.950195,5507.200195,5565.700195,110949186
2011-06-06,5532.049805,5542.649902,5479.850098,5504.299805,101017578
2011-06-07,5556.149902,5570.100098,5507.799805,5509.149902,77137320
2011-06-08,5526.850098,5556.600098,5514.899902,5535.25,81858402
2011-06-09,5521.049805,5540.100098,5502.049805,5523.549805,92928675
2011-06-10,5485.799805,5521.450195,5457.450195,5518.049805,87033655
2011-06-13,5482.799805,5496.700195,5436.950195,5469.850098,84190282
2011-06-14,5500.5,5520.149902,5484.200195,5485.600098,80104906
2011-06-15,5447.5,5499.350098,5438.950195,5494.450195,97840485
2011-06-16,5396.75,5447.5,5389.799805,5419.649902,95878889
2011-06-17,5366.399902,5421.149902,5355.850098,5412.5,128063494
2011-06-20,5257.899902,5377.399902,5195.899902,5372.200195,97876272
2011-06-21,5275.850098,5322.450195,5257,5280.799805,135334880
2011-06-22,5278.299805,5310.5,5262.5,5304.649902,107191673
2011-06-23,5320,5330.600098,5252.25,5269.100098,95769497
2011-06-24,5471.25,5477.850098,5343.399902,5343.399902,89001344
2011-06-27,5526.600098,5552.649902,5434.25,5441.200195,140100077
2011-06-28,5545.299805,5558.299805,5496.350098,5548.850098,143402407
2011-06-29,5600.450195,5608.649902,5566.5,5566.5,114413706
2011-06-30,5647.399902,5657.899902,5606.100098,5614.5,124593981
2011-07-01,5627.200195,5705.799805,5609.75,5705.75,179224275
2011-07-04,5650.5,5679.649902,5633.100098,5679.549805,141092473
2011-07-05,5632.100098,5659.850098,5612.299805,5659.850098,103528865
2011-07-06,5625.450195,5655.399902,5610.75,5622.700195,100776400
2011-07-07,5728.950195,5737.149902,5632.950195,5633.350098,86109914
2011-07-08,5660.649902,5740.399902,5651.049805,5734.649902,112220298
2011-07-11,5616.100098,5652.899902,5601.700195,5648.049805,129276449
2011-07-12,5526.149902,5580.25,5496.950195,5556.899902,78899703
2011-07-13,5585.450195,5596.149902,5541.399902,5542.049805,104907108
2011-07-15,5581.100098,5631.700195,5562.75,5602.950195,106019573
2011-07-18,5567.049805,5596.600098,5550.950195,5581.75,123015471
2011-07-19,5613.549805,5627.649902,5557.200195,5569.850098,80426784
2011-07-20,5567.049805,5645.399902,5555.100098,5642.049805,73604991
2011-07-21,5541.600098,5578.899902,5532.700195,5554.600098,86555649
2011-07-22,5633.950195,5642.200195,5567.100098,5576.950195,87093214
2011-07-25,5680.299805,5700.549805,5616.700195,5633.799805,76327640
2011-07-26,5574.850098,5702.25,5560.149902,5688.450195,106781617
2011-07-27,5546.799805,5591.700195,5521.5,5588.549805,142008190
2011-07-28,5487.75,5512.100098,5475.649902,5492.399902,134108563
2011-07-29,5482,5520.299805,5453.950195,5479,122321153
2011-08-01,5516.799805,5551.899902,5486.450195,5527.5,164522151
2011-08-02,5456.549805,5496.299805,5433.649902,5493.200195,156128914
2011-08-03,5404.799805,5422.600098,5378.850098,5402,98962726
2011-08-04,5331.799805,5434.5,5323.149902,5412.399902,110372244
2011-08-05,5211.25,5229.649902,5116.450195,5204.350098,133223864
2011-08-08,5118.5,5204.200195,5054.049805,5083.850098,118482440
2011-08-09,5072.850098,5167,4946.450195,4947.899902,196016865
2011-08-10,5161,5197.950195,5123.350098,5196.549805,188307028
2011-08-11,5138.299805,5184.950195,5121,5128,233869015
2011-08-12,5072.950195,5194.450195,5053.350098,5194.399902,158404456
2011-08-16,5035.799805,5132.200195,5015.399902,5125.75,113043482
2011-08-17,5056.600098,5112.149902,5017.25,5030.299805,128834807
2011-08-18,4944.149902,5078.600098,4932.149902,5077.950195,130896704
2011-08-19,4845.649902,4893.600098,4796.100098,4859.299805,143342008
2011-08-22,4898.799805,4910.049805,4808.75,4843.700195,139816131
2011-08-23,4948.899902,4965.799805,4863.799805,4925.149902,166702431
2011-08-24,4888.899902,4962.399902,4875.299805,4934.350098,123813921
